date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-17,Dausa,1,Moderate,127,PM10
2023-08-01,Gadag,1,Good,42,SO2
2018-03-25,Gaya,1,Poor,292,PM2.5
2020-03-07,Udaipur,1,Satisfactory,78,PM10
2017-01-16,Howrah,1,Moderate,134,PM10
2018-03-01,Jodhpur,1,Poor,276,PM10
2020-10-26,Dharuhera,1,Very Poor,313,PM10
2022-04-12,Srinagar,1,Good,46,PM10
2021-10-13,Bidar,1,Satisfactory,98,PM10
2019-03-17,Aurangabad,1,Moderate,117,OZONE
2020-09-19,Manesar,1,Satisfactory,92,PM10
2021-12-20,Ernakulam,1,Moderate,152,PM2.5
2023-03-07,Bhagalpur,2,Moderate,150,PM10
2023-02-12,Sasaram,1,Moderate,130,PM2.5
2022-02-11,Fatehabad,1,Moderate,131,PM10
2023-07-26,Dhule,1,Good,42,O3
2022-08-26,Fatehabad,1,Satisfactory,62,PM10
2019-08-19,Gurugram,1,Satisfactory,57,PM2.5
2018-09-02,Ludhiana,1,Satisfactory,51,PM10
2021-07-11,Thiruvananthapuram,2,Good,50,CO
2022-05-17,Moradabad,2,Satisfactory,72,PM10
2021-10-10,Ambala,1,Moderate,138,PM10
2022-02-06,Solapur,1,Satisfactory,67,PM2.5
2021-06-06,Panipat,1,Moderate,158,PM2.5
2019-01-29,Muzaffarpur,1,Poor,247,PM2.5
2021-05-24,Kaithal,1,Moderate,102,PM10
2019-07-27,Loni_Dehat,1,Satisfactory,75,CO
2019-07-05,Kota,1,Good,33,OZONE
2016-09-10,Hyderabad,2,Satisfactory,53,"PM10, PM2.5"
2019-11-04,Thiruvananthapuram,1,Good,49,OZONE
2023-06-23,Tonk,1,Moderate,131,PM10
2022-11-29,Shillong,1,Good,23,SO2
2020-08-03,Kurukshetra,1,Satisfactory,52,PM10
2021-07-14,Chikkamagaluru,1,Good,24,O3
2023-08-01,Kochi,1,Satisfactory,80,CO
2021-03-15,Narnaul,1,Poor,206,PM10
2019-09-02,GandhiNagar,1,Good,44,PM10
2023-01-04,Amaravati,1,Satisfactory,92,PM2.5
2023-12-01,Kochi,1,Satisfactory,89,PM10
2019-01-25,Kalaburagi,1,Moderate,112,PM10
2019-12-06,Ratlam,1,Moderate,120,PM10
2020-03-03,Muzaffarpur,1,Poor,232,PM2.5
2019-11-23,Brajrajnagar,1,Moderate,200,PM2.5
2018-11-26,Mumbai,1,Moderate,155,PM10
2023-12-15,Balasore,1,Poor,222,PM2.5
2022-11-16,Ooty,1,Satisfactory,57,PM10
2023-02-08,Chikkaballapur,1,Moderate,149,PM10
2022-07-20,Ankleshwar,1,Satisfactory,58,PM10
2023-10-24,Indore,1,Moderate,111,PM10
2022-12-28,Nalbari,1,Moderate,197,PM2.5
2019-08-21,Patna,1,Satisfactory,75,PM2.5
2020-09-06,Howrah,2,Satisfactory,66,PM10
2020-06-05,Charkhi Dadri,1,Moderate,156,PM2.5
2022-07-27,Purnia,1,Moderate,114,PM2.5
2023-08-15,Varanasi,4,Good,45,"O3, PM10"
2020-11-08,Nashik,1,Satisfactory,100,O3
2022-01-13,Kalaburagi,1,Satisfactory,82,PM10
2023-03-19,Shivamogga,1,Good,35,O3
2023-10-24,Jind,1,Moderate,143,PM2.5
2022-06-18,Madikeri,1,Good,27,O3
2020-05-09,Nagpur,1,Satisfactory,77,O3
